,,,,,,,,,,,
,Description,Item,Usage Count,"Purchase
Quantity",Unit Price,Subtotal,"Price(HKD)
[$]","Price(RMB)
[$]",Price(USD) [$],Link,Additional description
,Electrical Components,,,,,,,,,,
,Arduino Mega 2560 R3 Type-C (CH340G),,1,1,$98.00,$98.00,$98.00,$86.06,$12.5,https://hkstem.club/products/arduino-mega-2560?variant=47304128004391,
,"Nextion 5"" HMI Touch Display",,1,1,$388.31,$388.31,$388.31,$341.00,$49.54,https://item.taobao.com/item.htm?abbucket=10&id=588657322182&mi_id=00006r_G8ZP79sZAoAx3jqT5q0Fxqz4Ha2onPcWLXEqpnZ8&ns=1&priceTId=2100cff617752803565376367e0d04&spm=a21n57.1.hoverItem.4&utparam=%7B%22aplus_abtest%22%3A%2297bfe351cf46e370ce21ea3e53ceaa7a%22%7D&xxc=taobaoSearch,
,DS3231 RTC Module(Contains Battery),,1,1,$22.05,$22.05,$22.05,$19.36,$2.81,https://detail.tmall.com/item.htm?ali_refid=a3_430620_1006%3A1109983619%3AH%3An1Wqg%2B5HsECROEeQyBJAVQ%3D%3D%3A1513cffd14e591e2467183ac4e19fa0b&ali_trackid=318_1513cffd14e591e2467183ac4e19fa0b&id=41161779230&mi_id=0000J-5YnBn0eD_k1FxpO701nMwDsv60q7jG3PzKVPYYLw4&mm_sceneid=0_0_98938874_0&priceTId=2100cff617752806504635388e0d04&skuId=4021392105895&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%22a6974ba0c2e626d12b99c419a6035171%22%7D&xxc=ad_ztc,
,28BYJ-48 Stepper Motor + ULN2003 Driver,,1,1,$7.06,$7.06,$7.06,$6.20,$0.90,https://item.taobao.com/item.htm?abbucket=10&id=682229618612&mi_id=0000OgW-aQQLHUaNgg0t22UaNoGxqQSGLdnYvZdJLKwvQJo&ns=1&priceTId=2100c90417752809138194116e0ce1&skuId=5076592483944&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%22ebacbc6498da04d93e19a5dac1917d9a%22%7D&xxc=taobaoSearch,
,TCRT5000 IR Sensor Module,,2,2,$2.62,$5.24,$5.24,$4.60,$0.67,https://item.taobao.com/item.htm?abbucket=10&id=863862858419&mi_id=0000S065k16xn9CBQDV870_FfP1odddWC0sum9u6_Nfnq8I&ns=1&priceTId=2100c90417752812554093218e0ce1&skuId=5686575112526&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%223eccdef7267da32f8e52c2297f43edf4%22%7D&xxc=taobaoSearch,
,Active Buzzer(5V),,1,1,,,,,,,
,Red LED + 220Ω Resistor,,2-3,2-3,,,,,,,
,"Super Starter Kit (Active Buzzer(5V), Red LED + 220Ω Resistor, Breadboard + Jumper Wires Kit)",,,,$120.71,$120.71,$120.71,$106,$15.40,https://item.taobao.com/item.htm?abbucket=10&id=814569089511&mi_id=00003IDimwawjo47El2Q3yvEv6Iqhd7VY4vkU85WSLJ8Dwg&ns=1&priceTId=2100c90417752817288805470e0ce1&skuId=5511429213951&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%22810204dad1adda76bccaa3f4783945c6%22%7D&xxc=taobaoSearch,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,Total,,$641.37,$563.22,$81.82,,
